Chivres-en-Laonnois;CHIVRES EN LAONNOIS;2350
Chivres-Val;CHIVRES VAL;2880
Chivy-lès-Étouvelles;CHIVY LES ETOUVELLES;2000
Chouy;CHOUY;2210
Cierges;CIERGES;2130
Cilly;CILLY;2250
Ciry-Salsogne;CIRY SALSOGNE;2220
Clacy-et-Thierret;CLACY ET THIERRET;2000
Clairfontaine;CLAIRFONTAINE;2260
Clamecy;CLAMECY;2880
Clastres;CLASTRES;2440
Clermont-les-Fermes;CLERMONT LES FERMES;2340
Coeuvres-et-Valsery;COEUVRES ET VALSERY;2600
Cohan;COHAN;2130
Coincy;COINCY;2210
Coingt;COINGT;2360
Colligis-Crandelain;COLLIGIS CRANDELAIN;2860
Colonfay;COLONFAY;2120
Commenchon;COMMENCHON;2300
Concevreux;CONCEVREUX;2160
Condé-en-Brie;CONDE EN BRIE;2330
Condé-sur-Aisne;CONDE SUR AISNE;2370
Condé-sur-Suippe;CONDE SUR SUIPPE;2190
Condren;CONDREN;2700
Connigis;CONNIGIS;2330
Contescourt;CONTESCOURT;2680
Corbeny;CORBENY;2820
Corcy;CORCY;2600
Coucy-lès-Eppes;COUCY LES EPPES;2840
Coucy-la-Ville;COUCY LA VILLE;2380
Coupru;COUPRU;2310
Courbes;COURBES;2800
Courboin;COURBOIN;2330
Courchamps;COURCHAMPS;2810
Courmelles;COURMELLES;2200
Courmont;COURMONT;2130
Courtemont-Varennes;COURTEMONT VARENNES;2850
Courtrizy-et-Fussigny;COURTRIZY ET FUSSIGNY;2820
Couvrelles;COUVRELLES;2220
Couvron-et-Aumencourt;COUVRON ET AUMENCOURT;2270
Coyolles;COYOLLES;2600
Cramaille;CRAMAILLE;2130
Craonne;CRAONNE;2160
Craonnelle;CRAONNELLE;2160
Crécy-au-Mont;CRECY AU MONT;2380
Crécy-sur-Serre;CRECY SUR SERRE;2270
Crézancy;CREZANCY;2650
Croix-Fonsommes;CROIX FONSOMMES;2110
La Croix-sur-Ourcq;LA CROIX SUR OURCQ;2210
Crouy;CROUY;2880
Crupilly;CRUPILLY;2120
Cuffies;CUFFIES;2880
Cugny;CUGNY;2480
